,Todays Amount,Todays Result,Total Amount
425,125.0,1,1962.5
426,125.0,1,2087.5
427,-200.0,0,1887.5
428,100.0,1,1987.5
429,-212.5,0,1775.0
430,112.5,1,1887.5
431,112.5,1,2000.0
432,112.5,1,2112.5
433,-200.0,0,1912.5
434,-212.5,0,1700.0
435,100.0,1,1800.0
436,100.0,1,1900.0
437,-200.0,0,1700.0
438,-200.0,0,1500.0
439,100.0,1,1600.0
440,112.5,1,1712.5
441,112.5,1,1825.0
442,100.0,1,1925.0
443,-200.0,0,1725.0
444,-200.0,0,1525.0
445,-212.5,0,1312.5
446,-200.0,0,1112.5
447,112.5,1,1225.0
448,100.0,1,1325.0
449,-200.0,0,1125.0
450,100.0,1,1225.0
451,112.5,1,1337.5
452,100.0,1,1437.5
453,100.0,1,1537.5
454,112.5,1,1650.0
455,112.5,1,1762.5
456,-212.5,0,1550.0
457,112.5,1,1662.5
458,100.0,1,1762.5
459,100.0,1,1862.5
460,137.5,1,2000.0
461,112.5,1,2112.5
462,112.5,1,2225.0
463,-212.5,0,2012.5
464,100.0,1,2112.5
465,112.5,1,2225.0
466,100.0,1,2325.0
467,-212.5,0,2112.5
468,100.0,1,2212.5
469,137.5,1,2350.0
470,137.5,1,2487.5
471,-200.0,0,2287.5
472,100.0,1,2387.5
473,125.0,1,2512.5
474,112.5,1,2625.0
475,-200.0,0,2425.0
476,112.5,1,2537.5
477,100.0,1,2637.5
478,112.5,1,2750.0
479,112.5,1,2862.5
480,-225.0,0,2637.5
481,112.5,1,2750.0
482,112.5,1,2862.5
483,125.0,1,2987.5
484,100.0,1,3087.5
485,100.0,1,3187.5
486,-212.5,0,2975.0
487,100.0,1,3075.0
488,112.5,1,3187.5
489,100.0,1,3287.5
490,-200.0,0,3087.5
491,-237.5,0,2850.0
492,-212.5,0,2637.5
493,100.0,1,2737.5
494,100.0,1,2837.5
495,-200.0,0,2637.5
496,100.0,1,2737.5
497,137.5,1,2875.0
498,112.5,1,2987.5
499,112.5,1,3100.0
500,-200.0,0,2900.0
501,112.5,1,3012.5
502,100.0,1,3112.5
503,-200.0,0,2912.5
504,112.5,1,3025.0
505,100.0,1,3125.0
506,100.0,1,3225.0
507,100.0,1,3325.0
508,-200.0,0,3125.0
509,-200.0,0,2925.0
510,-200.0,0,2725.0
511,125.0,1,2850.0
512,-212.5,0,2637.5
513,-200.0,0,2437.5
514,-212.5,0,2225.0
515,-200.0,0,2025.0
516,125.0,1,2150.0
517,100.0,1,2250.0
518,-237.5,0,2012.5
519,112.5,1,2125.0
520,100.0,1,2225.0
521,-200.0,0,2025.0
522,112.5,1,2137.5
523,100.0,1,2237.5
524,125.0,1,2362.5
525,-200.0,0,2162.5
526,-237.5,0,1925.0
527,-200.0,0,1725.0
528,-200.0,0,1525.0
529,125.0,1,1650.0
530,100.0,1,1750.0
531,100.0,1,1850.0
532,-212.5,0,1637.5
533,100.0,1,1737.5
534,112.5,1,1850.0
535,125.0,1,1975.0
536,100.0,1,2075.0
537,-200.0,0,1875.0
538,-200.0,0,1675.0
539,100.0,1,1775.0
540,-212.5,0,1562.5
541,112.5,1,1675.0
542,100.0,1,1775.0
543,125.0,1,1900.0
544,125.0,1,2025.0
545,125.0,1,2150.0
546,100.0,1,2250.0
547,-212.5,0,2037.5
548,100.0,1,2137.5
549,-200.0,0,1937.5
550,125.0,1,2062.5
551,100.0,1,2162.5
552,-212.5,0,1950.0
553,137.5,1,2087.5
554,-200.0,0,1887.5
555,-200.0,0,1687.5
556,100.0,1,1787.5
557,100.0,1,1887.5
558,-200.0,0,1687.5
559,-200.0,0,1487.5
560,112.5,1,1600.0
561,-200.0,0,1400.0
562,100.0,1,1500.0
563,100.0,1,1600.0
564,-200.0,0,1400.0
565,-212.5,0,1187.5
566,-212.5,0,975.0
567,100.0,1,1075.0
568,162.5,1,1237.5
569,112.5,1,1350.0
570,112.5,1,1462.5
571,100.0,1,1562.5
572,-200.0,0,1362.5
573,112.5,1,1475.0
574,112.5,1,1587.5
575,100.0,1,1687.5
576,137.5,1,1825.0
577,112.5,1,1937.5
578,100.0,1,2037.5
579,112.5,1,2150.0
580,100.0,1,2250.0
581,-200.0,0,2050.0
582,100.0,1,2150.0
583,-200.0,0,1950.0
584,112.5,1,2062.5
585,100.0,1,2162.5
586,100.0,1,2262.5
587,112.5,1,2375.0
588,112.5,1,2487.5
589,137.5,1,2625.0
590,112.5,1,2737.5
591,100.0,1,2837.5
592,-200.0,0,2637.5
593,-200.0,0,2437.5
594,-200.0,0,2237.5
595,150.0,1,2387.5
596,100.0,1,2487.5
597,-200.0,0,2287.5
598,-212.5,0,2075.0
599,112.5,1,2187.5
600,100.0,1,2287.5
601,-200.0,0,2087.5
602,-200.0,0,1887.5
603,112.5,1,2000.0
604,100.0,1,2100.0
605,100.0,1,2200.0
606,100.0,1,2300.0
607,100.0,1,2400.0
608,100.0,1,2500.0
609,100.0,1,2600.0
610,112.5,1,2712.5
611,100.0,1,2812.5
612,-212.5,0,2600.0
613,-200.0,0,2400.0
614,112.5,1,2512.5
615,112.5,1,2625.0
616,112.5,1,2737.5
617,112.5,1,2850.0
618,125.0,1,2975.0
619,-212.5,0,2762.5
620,-212.5,0,2550.0
621,112.5,1,2662.5
622,-200.0,0,2462.5
623,112.5,1,2575.0
624,100.0,1,2675.0
625,100.0,1,2775.0
626,125.0,1,2900.0
627,-212.5,0,2687.5
628,112.5,1,2800.0
629,112.5,1,2912.5
630,112.5,1,3025.0
631,112.5,1,3137.5
632,100.0,1,3237.5
633,112.5,1,3350.0
634,-200.0,0,3150.0
635,-200.0,0,2950.0
636,112.5,1,3062.5
637,100.0,1,3162.5
638,100.0,1,3262.5
639,-200.0,0,3062.5
640,112.5,1,3175.0
641,100.0,1,3275.0
642,-200.0,0,3075.0
643,100.0,1,3175.0
644,100.0,1,3275.0
645,100.0,1,3375.0
646,125.0,1,3500.0
647,-200.0,0,3300.0
648,-200.0,0,3100.0
649,112.5,1,3212.5
650,112.5,1,3325.0
651,100.0,1,3425.0
652,100.0,1,3525.0
653,-212.5,0,3312.5
654,112.5,1,3425.0
655,125.0,1,3550.0
656,-212.5,0,3337.5
657,-200.0,0,3137.5
658,100.0,1,3237.5
659,-225.0,0,3012.5
660,-200.0,0,2812.5
661,112.5,1,2925.0
662,100.0,1,3025.0
663,137.5,1,3162.5
664,112.5,1,3275.0
665,112.5,1,3387.5
666,112.5,1,3500.0
667,-212.5,0,3287.5
668,112.5,1,3400.0
669,100.0,1,3500.0
670,-200.0,0,3300.0
671,100.0,1,3400.0
672,100.0,1,3500.0
673,-200.0,0,3300.0
674,-212.5,0,3087.5
675,100.0,1,3187.5
676,100.0,1,3287.5
677,-212.5,0,3075.0
678,125.0,1,3200.0
679,125.0,1,3325.0
680,-212.5,0,3112.5
681,100.0,1,3212.5
