Player First Hand,Player Action,Player Hand,Player Sum,Dealer Show Card,Dealer Hand,Dealer Sum,Result,Total Winning,Running Count,True Count
"[9, 7]",H,"[9, 7, 6]",22,111,[111.],11,L,875.0,-5,-4.7
"[10, 10]",S,"[10, 10]",20,3,[ 3. 10. 10.],23,W,900.0,0,0
"[111, 10]",PBJ,"[111, 10]",21,5,[5. 5.],10,W,937.5,-3,-1.6
"[6, 111]",H,"[6, 111, 8, 7]",22,9,[9.],9,L,912.5,-3,-1.6
"[2, 2]",H,"[2, 2, 10, 111, 2]",17,9,[ 9. 10.],19,L,887.5,-2,-1.2
"[10, 10]",S,"[10, 10]",20,4,[4. 3. 4. 9.],20,P,887.5,-2,-1.3
"[8, 3]",D,"[8, 3, 5]",16,3,[ 3. 10.  7.],20,L,837.5,-1,-0.7
"[6, 10]",S,"[6, 10]",16,2,[ 2. 10.  7.],19,L,812.5,2,1.5
"[9, 6]",H,"[9, 6, 6]",21,10,[10.  3.  8.],21,P,812.5,3,2.4
"[3, 8]",D,"[3, 8, 5]",16,4,[4. 5. 7. 6.],22,W,862.5,5,4.3
"[2, 10]",H,"[2, 10, 111, 111, 10]",24,111,[111.],11,L,612.5,11,10.8
"[7, 7]",H,"[7, 7, 10]",24,10,[10.],10,L,587.5,0,0
"[4, 10]",H,"[4, 10, 7]",21,9,[ 9. 10.],19,W,612.5,0,0.0
"[3, 3]",H,"[3, 3, 8, 111, 10]",25,9,[9.],9,L,587.5,0,0.0
"[9, 5]",H,"[9, 5, 8]",22,111,[111.],11,L,562.5,0,0.0
"[5, 7]",H,"[5, 7, 4, 4]",20,10,[ 10. 111.],21,L,537.5,0,0.0
"[10, 4]",S,"[10, 4]",14,6,[6. 3. 8.],17,L,512.5,2,1.3
"[6, 2]",H,"[6, 2, 3, 10]",21,10,[10.  2.  6.],18,W,537.5,4,2.8
"[10, 10]",S,"[10, 10]",20,4,[4. 2. 5. 8.],19,W,762.5,7,5.4
"[8, 10]",S,"[8, 10]",18,10,[10. 10.],20,L,512.5,8,6.8
"[8, 9]",S,"[8, 9]",17,7,[ 7. 10.],17,P,512.5,5,4.6
"[7, 111]",D,"[7, 111, 2]",20,6,[ 6.  5. 10.],21,L,462.5,5,4.9
"[7, 2]",D,"[7, 2, 10]",19,5,[5. 8. 4.],17,W,512.5,0,0
"[5, 9]",H,"[5, 9, 6]",20,10,[10.  2.  9.],21,L,462.5,3,1.6
"[111, 2]",H,"[111, 2, 9, 6]",18,3,[ 3. 10.  4.],17,W,487.5,5,2.8
"[3, 5]",H,"[3, 5, 8, 10]",26,10,[10.],10,L,312.5,7,4.3
"[10, 6]",S,"[10, 6]",16,6,[6. 9. 8.],23,W,337.5,7,4.5
"[4, 3]",H,"[4, 3, 10]",17,5,[ 5. 10.  6.],21,L,87.5,8,5.5
"[7, 7]",H,"[7, 7, 2, 5]",21,10,[10.  7.],17,W,112.5,10,7.5
"[10, 2]",H,"[10, 2, 111]",13,3,[ 3.  4.  4. 10.],21,L,-137.5,14,11.6
"[2, 7]",H,"[2, 7, 2, 10]",21,7,[  7.   8. 111.   9.],25,W,-112.5,15,13.9
"[10, 4]",H,"[10, 4, 5]",19,10,[10.  5.  3.],18,W,137.5,0,0
"[10, 10]",S,"[10, 10]",20,7,[7. 9. 8.],24,W,162.5,2,1.1
